"","biasModel","feat","z","coef_lm","coef_rlm"
"1","N","mu_x","(Intercept)",4.63674523869936e-05,3.72989723164847e-05
"2","N","mu_x","y",4.59851325848383e-18,-3.27655570654885e-07
"3","N","mu_x","x",0.737345295780926,0.734561533332442
"4","N","mu_x","I(x^2)",-0.000129670220672991,-8.91583580906165e-05
"5","N","mu_x","I(x^3)",-0.22871135683332,-0.226760364021496
"6","N","mu_x","I(x^4)",8.76667590367631e-05,7.2402556617102e-05
"7","N","mu_x","I(y^2)",-0.000150613476644923,-0.000239184421989654
"8","N","mu_x","I(y^3)",2.86857093195833e-16,7.39384266893389e-08
"9","N","mu_x","I(y^4)",0.000378918444058836,0.000767051754154127
"10","N","mu_x","y:x",3.64052786047193e-16,1.4688254603656e-07
"11","N","mu_x","y:I(x^2)",4.25541475818657e-16,8.45476235138948e-06
"12","N","mu_x","y:I(x^3)",-6.20462261892461e-17,-3.48218520619412e-07
"13","N","mu_x","y:I(x^4)",-4.93941955791978e-16,-1.80926016106002e-05
"14","N","mu_x","x:I(y^2)",-0.368346015207669,-0.315164140106531
"15","N","mu_x","x:I(y^3)",-1.27886883203632e-15,-2.1075709565195e-07
"16","N","mu_x","x:I(y^4)",0.146587243800843,-0.0553378781453355
"17","N","mu_y","(Intercept)",-1.29203938747545e-17,-8.83175367398014e-08
"18","N","mu_y","y",0.749209749666829,0.749752165200726
"19","N","mu_y","x",1.38527938955218e-17,-2.85494309248739e-07
"20","N","mu_y","I(x^2)",-6.05167768818308e-17,1.10351502375002e-06
"21","N","mu_y","I(x^3)",-2.667995569104e-17,1.45734518651258e-06
"22","N","mu_y","I(x^4)",9.59560811422785e-17,-2.35511322244009e-06
"23","N","mu_y","I(y^2)",2.72296356526476e-16,5.65653909210299e-07
"24","N","mu_y","I(y^3)",-0.327181937992433,-0.334216757656205
"25","N","mu_y","I(y^4)",-3.91071109230324e-16,-9.162360050636e-07
"26","N","mu_y","y:x",-7.34182828477087e-05,-0.000138586622430923
"27","N","mu_y","y:I(x^2)",-0.13589582324326,-0.132528163257586
"28","N","mu_y","y:I(x^3)",9.44374540423578e-05,0.000268157888257407
"29","N","mu_y","y:I(x^4)",-0.0393020189262384,-0.0377268978647433
"30","N","mu_y","x:I(y^2)",-8.75298835242071e-17,-3.3259185693246e-06
"31","N","mu_y","x:I(y^3)",5.70376813156095e-05,1.8121479860695e-05
"32","N","mu_y","x:I(y^4)",1.70121780357283e-16,7.58155573083936e-06
"33","N","sigma_xx","(Intercept)",0.0979001196203124,0.098182660755452
"34","N","sigma_xx","y",9.11123759105604e-18,6.99536104938388e-09
"35","N","sigma_xx","x",-3.70020883798562e-06,-2.36139186039229e-06
"36","N","sigma_xx","I(x^2)",0.117806610292948,0.11785506606945
"37","N","sigma_xx","I(x^3)",-1.23777274840633e-05,-1.46606869172048e-05
