"dataset","biasmodel","logLik","llhImprovOverUni","improvOverC"
"Clarke2013","uniform",-31678.4853437449,0,0
"Clarke2013","re-fit",-23066.8572709863,8611.62807275867,1
"Clarke2013","Clarke-Tatler2014",-23337.3316113217,8341.1537324232,0.968591962164382
"Clarke2013","tN",-6063.88387089609,25614.6014728489,2.97442031360783
"Einhauser2008","uniform",-6387.33184631639,0,0
"Einhauser2008","re-fit",-3906.56185024955,2480.76999606684,1
"Einhauser2008","Clarke-Tatler2014",-4165.47306185057,2221.85878446582,0.895632722093739
"Einhauser2008","tN",-1262.91107519663,5124.42077111976,2.06565734801869
"Tatler2005","uniform",-9992.97737772513,0,0
"Tatler2005","re-fit",-10057.6637563485,-64.6863786233589,1
"Tatler2005","Clarke-Tatler2014",-10255.6593785223,-262.682000797156,4.06085494948854
"Tatler2005","tN",-2953.88861994392,7039.08875778121,-108.818717442304
"Tatler2007freeview","uniform",-40448.7072441825,0,0
"Tatler2007freeview","re-fit",-33202.8086290422,7245.89861514029,1
"Tatler2007freeview","Clarke-Tatler2014",-33310.5853635702,7138.12188061231,0.985125829072079
"Tatler2007freeview","tN",-6837.14202596723,33611.5652182152,4.63870211321808
"Tatler2007search","uniform",-28840.7698021152,0,0
"Tatler2007search","re-fit",-31621.1251871185,-2780.3553850033,1
"Tatler2007search","Clarke-Tatler2014",-32866.2159088139,-4025.44610669866,1.44781711302488
"Tatler2007search","tN",-18205.2517358275,10635.5180662878,-3.82523691886788
"Judd2009","uniform",-45999.9951388224,0,0
"Judd2009","re-fit",-24650.6556607565,21349.3394780659,1
"Judd2009","Clarke-Tatler2014",-26889.8281794037,19110.1669594188,0.895117480287967
"Judd2009","tN",-9455.140592516,36544.8545463064,1.71175574700343
"Yun2013SUN","uniform",-8951.49292806776,0,0
"Yun2013SUN","re-fit",-5972.02182918697,2979.47109888079,1
"Yun2013SUN","Clarke-Tatler2014",-6156.85495599362,2794.63797207414,0.93796445051067
"Yun2013SUN","tN",-1867.48342440062,7084.00950366714,2.37760638333703
"Yun2013PASCAL","uniform",-2627.88059449412,0,0
"Yun2013PASCAL","re-fit",-925.594983904028,1702.28561059009,1
"Yun2013PASCAL","Clarke-Tatler2014",-1241.68331687579,1386.19727761833,0.814315335214405
"Yun2013PASCAL","tN",-327.801084215111,2300.07951027901,1.35117132869477
"Clarke2009","uniform",-11804.5890417388,0,0
"Clarke2009","re-fit",-13024.1498432803,-1219.56080154149,1
"Clarke2009","Clarke-Tatler2014",-14026.9739056187,-2222.38486387988,1.82228295716855
"Clarke2009","tN",-6820.33980075324,4984.2492409856,-4.08692148409956
"Asher2013","uniform",-40070.5453978057,0,0
"Asher2013","re-fit",-39682.0218434588,388.523554346903,1
"Asher2013","Clarke-Tatler2014",-41407.5064529421,-1336.96105513644,-3.44113256500969
"Asher2013","tN",-8548.01700711539,31522.5283906903,81.1341501384101
"Ehinger2007","uniform",-21917.3151589288,0,0
"Ehinger2007","re-fit",-17377.4022176999,4539.91294122886,1
"Ehinger2007","Clarke-Tatler2014",-19816.2859532566,2101.02920567217,0.462790637809779
"Ehinger2007","tN",-13015.3860790824,8901.92907984637,1.96081493083363
